Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loa0_Status
9001002,1,0,0,1,0,5849,0,0,360,1,1,1
9001003,1,1,1,1,0,4583,1508,128,360,1,0,0
9001005,1,1,0,1,1,3000,0,66,360,1,1,1
9001006,1,1,0,0,0,2583,2358,120,360,1,1,1
9001008,1,0,0,1,0,6000,0,141,360,1,1,1
9001011,1,1,2,1,1,5417,4196,267,360,1,1,1
9001013,1,1,0,0,0,2333,1516,95,360,1,1,1
9001014,1,1,3,1,0,3036,2504,158,360,0,0,0
9001018,1,1,2,1,0,4006,1526,168,360,1,1,1
9001020,1,1,1,1,0,12841,10968,349,360,1,0,0
9001024,1,1,2,1,0,3200,700,70,360,1,1,1
9001027,1,1,2,1,2,2500,1840,109,360,1,1,1
9001028,1,1,2,1,0,3073,8106,200,360,1,1,1
9001029,1,0,0,1,0,1853,2840,114,360,1,0,0
9001030,1,1,2,1,0,1299,1086,17,120,1,1,1
9001032,1,0,0,1,0,4950,0,125,360,1,1,1
9001034,1,0,1,0,0,3596,0,100,240,10,1,1
9001036,0,0,0,1,0,3510,0,76,360,0,1,0
9001038,1,1,0,0,0,4887,0,133,360,1,0,0
9001041,1,1,0,1,2,2600,3500,115,0,1,1,1
9001043,1,1,0,0,0,7660,0,104,360,0,1,0
9001046,1,1,1,1,0,5955,5625,315,360,1,1,1
9001047,1,1,0,0,0,2600,1911,116,360,0,0,0
9001050,2,1,2,0,0,3365,1917,112,360,0,0,0
9001052,1,1,1,1,2,3717,2925,151,360,10,0,0
9001066,1,1,0,1,1,9560,0,191,360,1,0,1
9001068,1,1,0,1,0,2799,2253,122,360,1,0,1
9001073,1,1,2,0,0,4226,1040,110,360,1,1,1
9001086,1,0,0,0,0,1442,0,35,360,1,1,0
9001087,0,0,2,1,2,3750,2083,120,360,1,0,1
9001091,1,1,1,1,2,4166,3369,201,360,10,1,0
9001095,1,0,0,1,0,3167,0,74,360,1,1,0
9001097,1,0,1,1,1,4692,0,106,360,1,0,0
9001098,1,1,0,1,0,3500,1667,114,360,1,0,1
9001100,1,0,3,1,0,12500,3000,320,360,1,0,0
9001106,1,1,0,1,0,2275,2067,0,360,1,1,1
9001109,1,1,0,1,0,1828,1330,100,0,0,1,0
